Val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
9.055385138137417300e-01,9.971826113962153348e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971826113962153348e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.971826113962153348e-01
9.054254829195836907e-01,9.534016319236064962e-01,9.998751782586451364e-01,9.617822954330890184e-04,9.524398496281734072e-01,9.999375852458760594e-01,9.617821254791492080e-04,9.524398497981273470e-01
9.053124520254257623e-01,9.169436600062872422e-01,9.997503565172906059e-01,1.798737229692815021e-03,9.151449227765944272e-01,9.998751627238924300e-01,1.798736585188587256e-03,9.151449234210986550e-01
9.051994211312677230e-01,8.840722660343255379e-01,9.996255347759358534e-01,2.588573357513057616e-03,8.814836926768124803e-01,9.998127324325988274e-01,2.588571943972772793e-03,8.814836940903527651e-01
9.050863902371097947e-01,8.535207168364734587e-01,9.995007130345813229e-01,3.347808496006576817e-03,8.501729083404668819e-01,9.997502943705446343e-01,3.347806017614418650e-03,8.501729108188590400e-01
9.049733593429517553e-01,8.246704962184715493e-01,9.993758912932264593e-01,4.084287505226935622e-03,8.205862087132446137e-01,9.996878485362790112e-01,4.084283661220933226e-03,8.205862125572506161e-01
9.048603284487937159e-01,7.971554123961649418e-01,9.992510695518717068e-01,4.802630906299620861e-03,7.923527814898653210e-01,9.996253949283505635e-01,4.802625389212278328e-03,7.923527870069526635e-01
9.047472975546357876e-01,7.707367565125503583e-01,9.991262478105170652e-01,5.505891784698402347e-03,7.652308647278519560e-01,9.995629335453075637e-01,5.505884279341177745e-03,7.652308722332091806e-01
9.046342666604777483e-01,7.452447942654750745e-01,9.990014260691623127e-01,6.196240092693372503e-03,7.390485541727817020e-01,9.995004643856980620e-01,6.196230275519409858e-03,7.390485639899556647e-01
9.045212357663198199e-01,7.205537035736493401e-01,9.988766043278076712e-01,6.875298302128296513e-03,7.136784052715210436e-01,9.994379874480699977e-01,6.875285840813427640e-03,7.136784177328359124e-01
9.044082048721617806e-01,6.965659870069693671e-01,9.987517825864526966e-01,7.544325773184867856e-03,6.890216612337844992e-01,9.993755027309700889e-01,7.544310326342840156e-03,6.890216766806265269e-01
9.042951739780037412e-01,6.732048124259920607e-01,9.986269608450980551e-01,8.204328568909735608e-03,6.650004838570823251e-01,9.993130102329454978e-01,8.204309785891927831e-03,6.650005026401001329e-01
9.041821430838458129e-01,6.504079217702013471e-01,9.985021391037435246e-01,8.856128987918987505e-03,6.415517927822823596e-01,9.992505095337761434e-01,8.856110849704723620e-03,6.415518109204966235e-01
9.040691121896877736e-01,6.281219282049539387e-01,9.983773173623886610e-01,9.500411753504689472e-03,6.186215164514492493e-01,9.991880013557511431e-01,9.500390666932978512e-03,6.186215375380209602e-01
9.039560812955298452e-01,6.063053233910649098e-01,9.982524956210341305e-01,1.013775590573962049e-02,5.961675674853252893e-01,9.991254853734714558e-01,1.013773166303066908e-02,5.961675917280342407e-01
9.038430504013718059e-01,5.849190964380183155e-01,9.981276738796793779e-01,1.076865753539535397e-02,5.741504389026229616e-01,9.990629615840131983e-01,1.076862993019078729e-02,5.741504665078275282e-01
9.037300195072138775e-01,5.639318997632492003e-01,9.980028521383245144e-01,1.139354642907575155e-02,5.525383533341734488e-01,9.990004299844505997e-01,1.139351525626819406e-02,5.525383845069810063e-01
9.036169886130558382e-01,5.433154666816146783e-01,9.978780303969699839e-01,1.201279853735304215e-02,5.313026681442616361e-01,9.989378905718563351e-01,1.201276359293101947e-02,5.313027030886836588e-01
9.035039577188977988e-01,5.230456284263895750e-01,9.977532086556150093e-01,1.262674549950815184e-02,5.104188829268814231e-01,9.988753433433008588e-01,1.262670658041942229e-02,5.104189218459701527e-01
9.033909268247398705e-01,5.031003068325823335e-01,9.976283869142603677e-01,1.323568204544867122e-02,4.898646247871336623e-01,9.988127882958534043e-01,1.323563894948176500e-02,4.898646678831005685e-01
9.032778959305818312e-01,4.834603778306912902e-01,9.975035651729056152e-01,1.383987183528390119e-02,4.696205059954073890e-01,9.987502254265804291e-01,1.383982436096586888e-02,4.696205534697254214e-01
9.031648650364239028e-01,4.641092124322628854e-01,9.973787434315511957e-01,1.443955212823921919e-02,4.496696603040236662e-01,9.986876547325476139e-01,1.443950007473260300e-02,4.496697123575302824e-01
9.030518341422658635e-01,4.450295113844542905e-01,9.972539216901962211e-01,1.503493756039508966e-02,4.299945738240592008e-01,9.986250762108180856e-01,1.503488072741343551e-02,4.299946306570408550e-01
9.029388032481078241e-01,4.262087541956448011e-01,9.971290999488413576e-01,1.562622323423434878e-02,4.105825309614104524e-01,9.985624898584534170e-01,1.562616142196793234e-02,4.105825927736768688e-01
9.028257723539498958e-01,4.076334602428919318e-01,9.970042782074869381e-01,1.621358726996069421e-02,3.914198729729312376e-01,9.984998956725132935e-01,1.621352027900468951e-02,3.914199399638872423e-01
9.027127414597918564e-01,3.892920856729180645e-01,9.968794564661321855e-01,1.679719293092074572e-02,3.724948927419973188e-01,9.984372936500554019e-01,1.679712056220505900e-02,3.724949651107130055e-01
9.025997105656339281e-01,3.711734783345994049e-01,9.967546347247774330e-01,1.737719040844853957e-02,3.537962879261508653e-01,9.983746837881360969e-01,1.737711246317852343e-02,3.537963658714208814e-01
9.024866796714758888e-01,3.532686549975307955e-01,9.966298129834225694e-01,1.795371833176417908e-02,3.353149366657666164e-01,9.983120660838090688e-01,1.795363461137222671e-02,3.353150203861585688e-01
9.023736487773178494e-01,3.355675408694245299e-01,9.965049912420678169e-01,1.852690505390008902e-02,3.170406358155244408e-01,9.982494405341271193e-01,1.852681535998446094e-02,3.170407255094400689e-01
9.022606178831599211e-01,3.180627579190746235e-01,9.963801695007131753e-01,1.909686975371394091e-02,2.989658881653606826e-01,9.981868071361403860e-01,1.909677388799935205e-02,2.989659840310752714e-01
9.021475869890018817e-01,3.007455162598125509e-01,9.962553477593586448e-01,1.966372338573707523e-02,2.810817928740754756e-01,9.981241658868976740e-01,1.966362115002573407e-02,2.810818951097868168e-01
9.020345560948439534e-01,2.836090981203110428e-01,9.961305260180038923e-01,2.022756950325166336e-02,2.633815286170593795e-01,9.980615167834457901e-01,2.022746069938108349e-02,2.633816374209299593e-01
9.019215252006859140e-01,2.666459177874160313e-01,9.960057042766490287e-01,2.078850497505979611e-02,2.458574128123562352e-01,9.979988598228295427e-01,2.078838940486882336e-02,2.458575283825472080e-01
9.018084943065278747e-01,2.498510361599320384e-01,9.958808825352942762e-01,2.134662061258563170e-02,2.285044155473464067e-01,9.979361950020919636e-01,2.134649807787591946e-02,2.285045380820561189e-01
9.016954634123699464e-01,2.332178694481346626e-01,9.957560607939397457e-01,2.190200172089884489e-02,2.113158677272358177e-01,9.978735223182745306e-01,2.190187202339965999e-02,2.113159974247350026e-01
9.015824325182119070e-01,2.167407202995139948e-01,9.956312390525848821e-01,2.245472858486752266e-02,1.942859917146464721e-01,9.978108417684162790e-01,2.245459152620465915e-02,1.942861287733093356e-01
9.014694016240539787e-01,2.004144647244728572e-01,9.955064173112301296e-01,2.300487689969821226e-02,1.774095878247746449e-01,9.977481533495552446e-01,2.300473228136112880e-02,1.774097324431117284e-01
9.013563707298959393e-01,1.842338102000993794e-01,9.953815955698755991e-01,2.355251815361913970e-02,1.606812920464802397e-01,9.976854570587265769e-01,2.355236577694053146e-02,1.606814444231588479e-01
9.012433398357380110e-01,1.681952141910989518e-01,9.952567738285209575e-01,2.409771996916099113e-02,1.440974942219379606e-01,9.976227528929644262e-01,2.409755963527848710e-02,1.440976545558204647e-01
9.011303089415799716e-01,1.522932821022187910e-01,9.951319520871660940e-01,2.464054640848667432e-02,1.276527356937321167e-01,9.975600408493006110e-01,2.464037791832462965e-02,1.276529041838941614e-01
9.010172780474219323e-01,1.365240492013806151e-01,9.950071303458113414e-01,2.518105824739080845e-02,1.113429909539898066e-01,9.974973209247651740e-01,2.518088140163510236e-02,1.113431677997455127e-01
9.009042471532640040e-01,1.208843105075135815e-01,9.948823086044566999e-01,2.571931322188691915e-02,9.516499728562666238e-02,9.974345931163864920e-01,2.571912782096008598e-02,9.516518268655349555e-02
9.007912162591059646e-01,1.053694098222166808e-01,9.947574868631018363e-01,2.625536625072277808e-02,7.911404357149390276e-02,9.973718574211908328e-01,2.625517209476169178e-02,7.911423772745498906e-02
9.006781853649480363e-01,8.997657077420120886e-02,9.946326651217473058e-01,2.678926963668648575e-02,6.318730113751472310e-02,9.973091138362027985e-01,2.678906652552393020e-02,6.318750424867727866e-02
9.005651544707899969e-01,7.470251361050361805e-02,9.945078433803925533e-01,2.732107324919264002e-02,4.738144036131097803e-02,9.972463623584448822e-01,2.732086098233477145e-02,4.738165262816884660e-02
9.004521235766319576e-01,5.954287449120339304e-02,9.943830216390375787e-01,2.785082469024668939e-02,3.169204980095670365e-02,9.971836029849380223e-01,2.785060306685283038e-02,3.169227142435056266e-02
9.003390926824740292e-01,4.449481768268620518e-02,9.942581998976831592e-01,2.837856944565575468e-02,1.611624823703045051e-02,9.971208357127010480e-01,2.837833826452595964e-02,1.611647941816024554e-02
9.002260617883159899e-01,2.955826014444253025e-02,9.941333781563284067e-01,2.890435102309618642e-02,6.539091213463438246e-04,9.970580605387509010e-01,2.890411008264637260e-02,6.541500617961576447e-04
9.001130308941580616e-01,1.472593203005109069e-02,9.940085564149737651e-01,2.942821107840498662e-02,0.000000000000000000e+00,9.969952774601028578e-01,2.942796017665472164e-02,0.000000000000000000e+00
9.000000000000000222e-01,4.452596896326044273e-07,9.938837346736190126e-01,2.995018953136230344e-02,0.000000000000000000e+00,9.969324864737699743e-01,2.994992846591792990e-02,0.000000000000000000e+00
