wexp,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
8.246211251235320283e-01,9.971835780856750375e-01,9.999999999999998890e-01,3.108624468950438313e-15,9.971835780856719289e-01,9.999999999999998890e-01,5.995204332975845318e-15,9.971835780856690423e-01
8.241186531822354278e-01,9.529424524954960285e-01,9.993906632682719726e-01,3.998147096751392127e-03,9.489443053987446364e-01,9.996952401696024282e-01,3.998130560520340993e-03,9.489443219349756875e-01
8.236161812409389382e-01,9.161508504604726211e-01,9.987813265365441673e-01,7.386823505947326396e-03,9.087640269545252947e-01,9.993902973002702916e-01,7.386761727780299935e-03,9.087640887326923211e-01
8.231137092996423377e-01,8.830020939714388062e-01,9.981719898048161399e-01,1.054537557678614235e-02,8.724567183946526638e-01,9.990851704834298186e-01,1.054524890688657290e-02,8.724568450645522333e-01
8.226112373583457371e-01,8.522110424383897431e-01,9.975626530730882235e-01,1.355443756176111236e-02,8.386566048766286308e-01,9.987798600200264998e-01,1.355422114124116284e-02,8.386568212971485803e-01
8.221087654170491366e-01,8.231490917882213765e-01,9.969533163413600851e-01,1.645230532538266566e-02,8.066967864628387108e-01,9.984743653572016875e-01,1.645197765290373759e-02,8.066971141353176389e-01
8.216062934757526470e-01,7.954486382191141569e-01,9.963439796096325018e-01,1.926153462050983478e-02,7.761871035986043221e-01,9.981686861611628325e-01,1.926107493900186540e-02,7.761875632801122915e-01
8.211038215344560465e-01,7.688634289319524751e-01,9.957346428779043634e-01,2.199702951921200800e-02,7.468663994127404671e-01,9.978628220971097473e-01,2.199641765002746663e-02,7.468670112819250084e-01
8.206013495931594459e-01,7.432240674022021487e-01,9.951253061461765581e-01,2.466938294151743705e-02,7.185546844606847117e-01,9.975567728292302760e-01,2.466859917081820619e-02,7.185554682313839425e-01
8.200988776518628454e-01,7.184015008286053217e-01,9.945159694144485307e-01,2.728651519665392655e-02,6.911149856319513951e-01,9.972505380206967418e-01,2.728554019257178886e-02,6.911159606360335328e-01
8.195964057105663558e-01,6.942967480502956201e-01,9.939066326827206144e-01,2.985457400777824510e-02,6.644421740425173750e-01,9.969441173336616169e-01,2.985338875729870445e-02,6.644433592929969157e-01
8.190939337692697553e-01,6.708339425372337184e-01,9.932972959509929201e-01,3.237847058872356243e-02,6.384554719485101559e-01,9.966375104292535259e-01,3.237705634795418064e-02,6.384568861892795377e-01
8.185914618279731547e-01,6.479471035323187689e-01,9.926879592192647817e-01,3.486221907864583969e-02,6.130848844536729292e-01,9.963307169675733599e-01,3.486055733259174616e-02,6.130865461997270227e-01
8.180889898866765542e-01,6.255853449268032884e-01,9.920786224875369763e-01,3.730916202133327531e-02,5.882761829054700131e-01,9.960237366076900578e-01,3.730723445068373501e-02,5.882781104761195534e-01
8.175865179453800646e-01,6.037018556645720180e-01,9.914692857558090600e-01,3.972212605152658504e-02,5.639797296130454329e-01,9.957165690076369424e-01,3.971991450472978080e-02,5.639819411598422372e-01
8.170840460040834641e-01,5.822608397851822826e-01,9.908599490240810326e-01,4.210353287399759559e-02,5.401573069111846870e-01,9.954092138244069465e-01,4.210101934346088814e-02,5.401598204417213944e-01
8.165815740627868635e-01,5.612293212950065779e-01,9.902506122923532272e-01,4.445548051941106138e-02,5.167738407755955166e-01,9.951016707139490602e-01,4.445264712094865178e-02,5.167766741740579262e-01
8.160791021214903740e-01,5.405794687152220002e-01,9.896412755606253109e-01,4.677980420945759832e-02,4.937996645057644018e-01,9.947939393311642231e-01,4.677663316435320962e-02,4.938028355508687905e-01
8.155766301801937734e-01,5.202846643181748831e-01,9.890319388288973945e-01,4.907812285332191493e-02,4.712065414648529682e-01,9.944860193299004392e-01,4.907459647253742396e-02,4.712100678456374592e-01
8.150741582388971729e-01,5.003231687258348215e-01,9.884226020971693671e-01,5.135187518135131413e-02,4.489712935444835074e-01,9.941779103629494463e-01,5.134797585149541987e-02,4.489751928743394016e-01
8.145716862976005723e-01,4.806770240958613272e-01,9.878132653654414508e-01,5.360234825179421847e-02,4.270746758440671087e-01,9.938696120820426083e-01,5.359805842257037156e-02,4.270789656732909556e-01
8.140692143563040828e-01,4.613263487848994759e-01,9.872039286337136454e-01,5.583070024287262179e-02,4.054956485420268542e-01,9.935611241378455860e-01,5.582600241577972966e-02,4.055003463691197463e-01
8.135667424150074822e-01,4.422576296682306229e-01,9.865945919019857291e-01,5.803797889435879931e-02,3.842196507738718236e-01,9.932524461799553395e-01,5.803285561245008495e-02,3.842247740557805380e-01
8.130642704737108817e-01,4.234547577308721555e-01,9.859852551702577017e-01,6.022513658973860373e-02,3.632296211411335518e-01,9.929435778568951321e-01,6.021957042829839679e-02,3.632351873025737587e-01
8.125617985324142811e-01,4.049055330652210349e-01,9.853759184385297853e-01,6.239304281083302151e-02,3.425124902543880134e-01,9.926345188161105337e-01,6.238701636884380619e-02,3.425185166963772287e-01
8.120593265911177916e-01,3.865974403947167737e-01,9.847665817068020910e-01,6.454249451335369869e-02,3.220549458813630750e-01,9.923252687039654241e-01,6.453599040564739209e-02,3.220614499890693816e-01
8.115568546498211910e-01,3.685192274433915505e-01,9.841572449750739526e-01,6.667422483995188998e-02,3.018450026034396605e-01,9.920158271344557965e-01,6.666722590447160535e-02,3.018520015389199451e-01
8.110543827085245905e-01,3.506619813311041001e-01,9.835479082433461473e-01,6.878891049098689869e-02,2.818730708401172014e-01,9.917061938077411654e-01,6.878139918154291266e-02,2.818805821495611874e-01
8.105519107672279899e-01,3.330158269200085841e-01,9.829385715116181199e-01,7.088717800199173524e-02,2.621286489180168489e-01,9.913963683411467498e-01,7.087913694614100812e-02,2.621366899738675760e-01
8.100494388259315004e-01,3.155723538843084874e-01,9.823292347798903146e-01,7.296960912331051929e-02,2.426027447609979681e-01,9.910863503765368066e-01,7.296102093915490805e-02,2.426113329451535794e-01
8.095469668846348998e-01,2.983236827348571540e-01,9.817198980481623982e-01,7.503674545693517217e-02,2.232869372779219819e-01,9.907761395546610395e-01,7.502759274772063947e-02,2.232960899871365146e-01
8.090444949433382993e-01,2.812622628334747188e-01,9.811105613164343708e-01,7.708909247447581770e-02,2.041731703589989011e-01,9.904657355151509357e-01,7.707935782352315357e-02,2.041829050099515652e-01
8.085420230020416987e-01,2.643809438590091765e-01,9.805012245847065655e-01,7.912712301619939659e-02,1.852538208428097799e-01,9.901551378965138817e-01,7.911678898214535849e-02,1.852641548768638180e-01
8.080395510607452092e-01,2.476736062086154211e-01,9.798918878529786491e-01,8.115128035231577996e-02,1.665223258562996411e-01,9.898443463361288330e-01,8.114032946461824380e-02,1.665332767439971773e-01
8.075370791194486086e-01,2.311342626767238784e-01,9.792825511212507328e-01,8.316198087288539931e-02,1.479722818038384791e-01,9.895333604702410968e-01,8.315039562758363978e-02,1.479838670491402386e-01
8.070346071781520081e-01,2.147569056846339031e-01,9.786732143895228164e-01,8.515961646103153981e-02,1.295972892236023633e-01,9.892221799339576682e-01,8.514737931672466953e-02,1.296095263679092335e-01
8.065321352368555186e-01,1.985366790183954178e-01,9.780638776577949001e-01,8.714455659472886140e-02,1.113921224236665564e-01,9.889108043612417909e-01,8.713164996876576751e-02,1.114050290496296503e-01
8.060296632955589180e-01,1.824679522812082955e-01,9.774545409260667617e-01,8.911715021490085320e-02,9.335080206630744226e-02,9.885992333849084046e-01,8.910355647975187754e-02,9.336439580145641792e-02
8.055271913542623174e-01,1.665467806791093297e-01,9.768452041943390673e-01,9.107772739142849794e-02,7.546905328768083177e-02,9.882874666366183725e-01,9.106342887123597407e-02,7.548335180787335563e-02
8.050247194129657169e-01,1.507680291573431364e-01,9.762358674626110400e-01,9.302660081369107381e-02,5.774142834365206256e-02,9.879755037468747059e-01,9.301157978096386003e-02,5.775644937637927634e-02
8.045222474716692274e-01,1.351279464807773334e-01,9.756265307308833457e-01,9.496406712812754947e-02,4.016387935264978393e-02,9.876633443450162364e-01,9.494830580059532288e-02,4.017964068018201051e-02
