val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
5.555555555555555802e-01,1.568162737441980426e-07,7.808688094430302762e-01,4.986042703726407677e-01,0.000000000000000000e+00,8.784281376296483312e-01,4.888782420855914967e-01,0.000000000000000000e+00
5.595530605055066831e-01,2.471548491546649018e-02,7.864875579188498333e-01,4.900535346875041220e-01,0.000000000000000000e+00,8.819166710749887228e-01,4.808038371623365448e-01,0.000000000000000000e+00
5.635505654554577859e-01,4.943097904732152159e-02,7.921063063946696126e-01,4.813833794609048145e-01,0.000000000000000000e+00,8.853809081910765100e-01,4.725962325207346826e-01,0.000000000000000000e+00
5.675480704054089998e-01,7.414648068902796041e-02,7.977250548704892807e-01,4.725909609381964138e-01,0.000000000000000000e+00,8.888213496602557218e-01,4.642528676400193843e-01,0.000000000000000000e+00
5.715455753553601026e-01,9.886190115814663670e-02,8.033438033463089489e-01,4.636732748479346355e-01,0.000000000000000000e+00,8.922384792013219323e-01,4.557710058355065597e-01,0.000000000000000000e+00
5.755430803053112054e-01,1.235773727981746006e-01,8.089625518221287281e-01,4.546271426598651466e-01,0.000000000000000000e+00,8.956327643634145463e-01,4.471477210023104831e-01,0.000000000000000000e+00
5.795405852552624193e-01,1.482928441937021447e-01,8.145813002979485073e-01,4.454491962247941750e-01,0.000000000000000000e+00,8.990046572727716789e-01,4.383798826899236722e-01,0.000000000000000000e+00
5.835380902052135221e-01,1.730083186235749082e-01,8.202000487737681755e-01,4.361358605509706443e-01,0.000000000000000000e+00,9.023545953357187122e-01,4.294641392633441468e-01,0.000000000000000000e+00
5.875355951551646250e-01,1.977237957652215883e-01,8.258187972495879547e-01,4.266833344255491767e-01,0.000000000000000000e+00,9.056830019009897148e-01,4.203968988598603129e-01,0.000000000000000000e+00
5.915331001051158388e-01,2.224392882511470049e-01,8.314375457254077340e-01,4.170875685332360305e-01,0.000000000000000000e+00,9.089902868842182349e-01,4.111743077936416135e-01,0.000000000000000000e+00
5.955306050550669417e-01,2.471547526095543290e-01,8.370562942012275132e-01,4.073442406545568772e-01,0.000000000000000000e+00,9.122768473572050452e-01,4.017922259900637005e-01,0.000000000000000000e+00
5.995281100050180445e-01,2.718702159932737672e-01,8.426750426770472924e-01,3.974487274396840686e-01,0.000000000000000000e+00,9.155430681043635888e-01,3.922461989445660269e-01,0.000000000000000000e+00
6.035256149549692584e-01,2.965856875962478156e-01,8.482937911528669606e-01,3.873960721456035650e-01,0.000000000000000000e+00,9.187893221485471384e-01,3.825314255920093665e-01,0.000000000000000000e+00
6.075231199049203612e-01,3.213013069358705565e-01,8.539125396286867398e-01,3.771809475881506835e-01,0.000000000000000000e+00,9.220159712482935976e-01,3.726427213354344126e-01,0.000000000000000000e+00
6.115206248548714640e-01,3.460166362672536522e-01,8.595312881045065190e-01,3.667976133874601974e-01,0.000000000000000000e+00,9.252233663683653297e-01,3.625744753091849626e-01,0.000000000000000000e+00
6.155181298048226779e-01,3.707321057113173168e-01,8.651500365803261872e-01,3.562398663638406404e-01,1.449223934747667641e-02,9.284118481253134103e-01,3.523206007287389419e-01,1.841150498257837498e-02
6.195156347547737807e-01,3.954475820180638479e-01,8.707687850561457443e-01,3.455009826548383067e-01,4.994659936322554117e-02,9.315817472096699081e-01,3.418744768919226296e-01,5.357310512614121834e-02
6.235131397047248836e-01,4.201631184468075375e-01,8.763875335319655235e-01,3.345736497506504037e-01,8.558946869615713382e-02,9.347333847862491218e-01,3.312288810209464973e-01,8.893423742586104019e-02
6.275106446546760974e-01,4.448785806675203958e-01,8.820062820077854138e-01,3.234498861523458224e-01,1.214286945151745734e-01,9.378670728739288975e-01,3.203759076398512429e-01,1.245026730276691529e-01
6.315081496046270892e-01,4.695940046403404011e-01,8.876250304836050820e-01,3.121209456999158860e-01,1.574730589404245151e-01,9.409831147521989791e-01,3.093068723563092703e-01,1.602871322840311308e-01
6.355056545545783031e-01,4.943096288278923112e-01,8.932437789594247501e-01,3.005772027290354309e-01,1.937324260988568803e-01,9.440818051029687963e-01,2.980121972410101350e-01,1.962974315868821762e-01
6.395031595045294059e-01,5.190249493395944214e-01,8.988625274352445294e-01,2.888080129989991640e-01,2.302169363405952573e-01,9.471634306674932002e-01,2.864812699406021901e-01,2.325436793989922313e-01
6.435006644544805088e-01,5.437404230127169669e-01,9.044812759110643086e-01,2.768015436431821019e-01,2.669388793695348649e-01,9.502282703092009841e-01,2.747022737069193532e-01,2.690381493057976137e-01
6.474981694044316116e-01,5.684558934116008544e-01,9.101000243868838657e-01,2.645445630032041695e-01,3.039113304083966849e-01,9.532765953786029867e-01,2.626619759916603014e-01,3.057939174199405530e-01
6.514956743543828255e-01,5.931714098187734763e-01,9.157187728627036449e-01,2.520221777675744068e-01,3.411492320511990695e-01,9.563086699935564594e-01,2.503454643507980748e-01,3.428259454679754015e-01
6.554931793043339283e-01,6.178870161772866965e-01,9.213375213385234241e-01,2.392174997817679838e-01,3.786695163955187127e-01,9.593247513062441723e-01,2.377358117180126129e-01,3.801512044592740835e-01
6.594906842542850312e-01,6.426023520572670122e-01,9.269562698143432034e-01,2.261112173018884342e-01,4.164911347553785781e-01,9.623250897576308693e-01,2.248136457376126440e-01,4.177887063196543682e-01
6.634881892042362450e-01,6.673177881958656243e-01,9.325750182901630936e-01,2.126810337536815254e-01,4.546367544421840989e-01,9.653099293201006237e-01,2.115565851059841851e-01,4.557612030898814393e-01
