val,HAgE,nu,HAgB_nu,key_nu,eta,HAgB_eta,key_eta
5.263157894736841813e-01,0.000000000000000000e+00,7.432941462471662764e-01,5.529037157494847143e-01,0.000000000000000000e+00,8.538138620975043169e-01,5.408210108573406893e-01,0.000000000000000000e+00
5.309758684210525992e-01,2.290470000000000006e-02,7.498753841121605923e-01,5.437393381119641766e-01,0.000000000000000000e+00,8.581457023572856002e-01,5.322826181626050257e-01,0.000000000000000000e+00
5.356359736842105645e-01,4.580950000000000299e-02,7.564566591418621089e-01,5.344321265987885816e-01,0.000000000000000000e+00,8.624369177392903207e-01,5.235798001140048452e-01,0.000000000000000000e+00
5.402960526315789824e-01,6.871380000000000543e-02,7.630378970068565359e-01,5.249788765370109189e-01,0.000000000000000000e+00,8.666885830729648132e-01,5.147100349377515816e-01,0.000000000000000000e+00
5.449561315789474003e-01,9.161840000000000261e-02,7.696191348718508518e-01,5.153760378671981002e-01,0.000000000000000000e+00,8.709017951930720924e-01,5.056704254050491398e-01,0.000000000000000000e+00
5.496162105263158182e-01,1.145231000000000027e-01,7.762003727368452788e-01,5.056199084655907949e-01,0.000000000000000000e+00,8.750775789465485843e-01,4.964578805715766929e-01,0.000000000000000000e+00
5.542763157894737835e-01,1.374275000000000080e-01,7.827816477665470174e-01,4.957065075821922573e-01,0.000000000000000000e+00,8.792169377240338646e-01,4.870689975839197494e-01,0.000000000000000000e+00
5.589363947368420904e-01,1.603322000000000080e-01,7.893628856315411113e-01,4.856317804911567393e-01,0.000000000000000000e+00,8.833207628523678245e-01,4.775002563905867969e-01,0.000000000000000000e+00
5.635964736842106193e-01,1.832367000000000024e-01,7.959441234965356493e-01,4.753912399579953707e-01,0.000000000000000000e+00,8.873899763197984347e-01,4.677476806047620173e-01,0.000000000000000000e+00
5.682565789473683626e-01,2.061411999999999967e-01,8.025253985262370549e-01,4.649801043587666882e-01,0.000000000000000000e+00,8.914254620679704644e-01,4.578069677467417886e-01,0.000000000000000000e+00
5.729166578947368915e-01,2.290457999999999938e-01,8.091066363912317039e-01,4.543934492451229268e-01,0.000000000000000000e+00,8.954280006345624043e-01,4.476736346133338706e-01,0.000000000000000000e+00
